date,arbitrum,ethereum,optimism,polygon,polygon_zkevm,TOTAL
2025-03-01T00:00:14.000Z,0.45593151732,19033777.66962115678725803984,30295312.597421141142,7023947.9574343702105220685,9010.580909,56362049.26131718545978010834
2025-03-01T23:21:25.000Z,0.455888854593,19027007.36657436911529533255,30295313.972260970446,7023841.12214933627285616608,9010.580909,56355173.49778253042715149863
2025-03-02T22:42:45.000Z,0.45614253726,13869126.36312478377274360448,30295329.547244276011,7028034.54591541215738317989,9010.580909,51201501.49333600920112678437
2025-03-03T21:56:10.000Z,0.456306307083,13779246.65739382988579308347,30287710.009993309843,7022233.61241402830189333788,9010.580909,51098201.31701647511368642135
2025-03-04T21:08:04.000Z,0.456403101012,13788228.43299379256686585208,30287725.890640386929,7024653.30867066656598661833,9010.580909,51109618.66961694707385247041
2025-03-05T20:23:47.000Z,0.456418239399,13799522.86648813615750966768,30287726.704168735188,7024785.48491501243199745738,9010.580909,51121046.09289912317650712506
2025-03-06T19:41:42.000Z,0.456383375235,13795721.92992345770048936143,30287720.723846412254,7025393.56722905867339024732,9010.580909,51117847.25829130386287960875
2025-03-07T18:55:57.000Z,0.456664582242,13789063.85843211796725678708,30287707.3039830574,7026205.64461655349289551551,9010.580909,51111987.84460531110215230259
2025-03-08T18:05:58.000Z,0.456462737082,13798898.5335151960814320969,30287698.253420108828,7024422.92625686037804345133,9010.580909,51120030.75056390236947554823
2025-03-09T17:22:07.000Z,0.456425120484,13774924.98617620330574888162,30287702.071608789481,7024909.45057157635684392382,9010.580909,51096547.54569068962759280544
2025-03-10T16:34:25.000Z,0.456426496701,13575020.0849194532664833067,30287696.710349248834,7022782.2227993694200466835,8990.583542,50894490.0580365682215299902
2025-03-11T15:44:43.000Z,0.455953078053,13548819.08738568328432505497,30287635.90580208788,7022534.09552126995632103883,8990.583542,50867980.1282041191736460938
2025-03-12T14:55:55.000Z,0.456042073419,13226641.77359902060868894169,30287640.493978070401,7023046.04961292482775820838,8990.583542,50546319.35677408925644715007
2025-03-13T14:09:15.000Z,0.456075102627,13229584.97272857180846853631,30287640.105757571075,7024185.85905980014685909534,8990.583542,50550401.97716304565732763165
2025-03-14T13:23:37.000Z,0.456075561366,13236928.34711978559545605739,30287129.504478979913,7023807.963697509702192256,8990.583542,50556856.85491383657664831339
2025-03-15T12:40:02.000Z,0.4561241877,13243845.69916979213697951048,30287135.680885498981,7024891.73124906856461060495,8990.583542,50564864.15097054738259011543
2025-03-16T11:55:38.000Z,0.4561241877,13232086.83188574040695660203,30287135.398533342121,7025146.96470369184319865498,8990.583542,50553360.23478896207115525701
2025-03-17T11:08:04.000Z,0.456152629518,13553117.28696843490495061242,30287115.326072940971,7024278.50838220994965438633,8990.583542,50873502.16111821534360499875
2025-03-18T10:19:28.000Z,0.456134279958,12469795.03185432495047572071,30287115.114398819647,7023912.61241590451617711197,8990.583542,49789813.79834532907165283268
2025-03-19T09:34:52.000Z,0.456134279958,12477891.08859807387201200328,30287115.326060492513,7024756.39244693952670921653,8979.544446,49798742.80768578586972121981
2025-03-20T08:48:44.000Z,0.456903126522,12493625.88626256414359754963,30287120.194292338997,7025751.32312713550554078681,8979.544446,49815477.40503116516813833644
2025-03-21T08:05:16.000Z,0.456903126522,12484764.49910578202932918477,30287102.379385924209,7022387.10727117634603663935,8979.544446,49803233.98711200910636582412
2025-03-22T07:20:01.000Z,0.456903126522,12487959.63780910277110629232,30287101.109409662784,7021969.14821456789762847776,8979.544446,49806009.89678245997473477008
2025-03-23T06:34:46.000Z,0.456854958927,12485658.67446411467773800459,30287111.586695665539,7023567.39083996928761588919,8979.544446,49805317.65330070843135389378
2025-03-24T05:47:02.000Z,0.456854958927,12498615.16962630644802552441,30287117.654340738255,7025770.08966939697367634441,8979.544446,49820482.91493740060370186882
2025-03-25T04:58:28.000Z,0.456854958927,12496989.59101434282169482464,30287121.852304780646,7025426.69140482817429868736,8979.544446,49818518.136024910568993512
2025-03-26T04:08:52.000Z,0.456853123971,12509960.87718275238719585287,30287125.309455042749,7026019.60045239252105751632,8979.544446,49832085.78838931162825336919
2025-03-27T03:18:12.000Z,0.456856335144,12505954.09828219230504240305,30287119.030146914005,7025479.85300070255906400575,8979.544446,49827532.9827321440131064088
2025-03-28T02:27:46.000Z,0.456857252622,12500715.73324185514061661092,30287112.010017397582,7023689.58447612512829291511,8979.544446,49820497.32903863047290952603
2025-03-29T01:37:32.000Z,0.456857252622,12476511.29134466366265456885,30286882.101623371633,7021089.28679008473331783334,8979.544446,49793462.68106137265097240219
2025-03-30T00:49:03.000Z,0.456857252622,12454447.79226233514919918482,30286887.851673568379,7021933.72718751343548883948,8979.544446,49772249.3724266695856880243
2025-03-31T00:00:24.000Z,0.456850371537,12451742.66262138966084427965,30286892.655068088456,7022792.95700626388891960745,8979.544446,49770408.2759921135427638871
